964 0364         ,*,90 4 391 1      ,070,14444 ,   ,009413             ,V201,   , 1 25,    1882, 6/01/16,     120, ,0000,      ,    1062,    24.9800,    36.0000,    25.9043
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750, 9/19/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750,10/03/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750,10/17/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750,10/31/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750,11/14/16,     125, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750,12/12/16,     250, ,0000,      ,        ,      .6698,      .7200,      .6989
HS108            , ,HS108           ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,    1750, 1/30/17,     250, ,0000,      ,        ,      .6698,      .7200,      .6989
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 4/04/16,    1225,*,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 4/11/16,    1050,*,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 4/18/16,     525,*,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 4/25/16,     175, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 5/02/16,    1050, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 5/09/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 5/16/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 5/23/16,     525, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 5/30/16,     700, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 6/06/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 6/13/16,     175, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 6/20/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 6/27/16,     525, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 7/18/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 7/25/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 8/01/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 8/08/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 8/15/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 8/22/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 9/05/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 9/12/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 9/19/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 9/26/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950,10/03/16,     175, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950,10/10/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950,10/17/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950,10/24/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950,10/31/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950,11/07/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950,11/14/16,     350, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950,12/12/16,     875, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 1/30/17,     875, ,0000,      ,    2975,      .2508,      .3300,      .2617
10010020         , ,10010020        ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,    5950, 2/27/17,     525, ,0000,      ,    2975,      .2508,      .3300,      .2617
108145           , ,108145          ,095,00158 ,XE ,001SUFF            ,V999,   ,11  2,        , 6/06/16,     375, ,0000,      ,        ,      .2652,      .3400,      .3275
126004           , ,126004          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,    1000, 5/02/16,     200, ,0000,      ,        ,      .7671,      .8300,      .8005
126004           , ,126004          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,    1000, 5/23/16,     200, ,0000,      ,        ,      .7671,      .8300,      .8005
126004           , ,126004          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,    1000, 6/13/16,     200, ,0000,      ,        ,      .7671,      .8300,      .8005
126004           , ,126004          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,    1000, 7/25/16,     200, ,0000,      ,        ,      .7671,      .8300,      .8005
126004           , ,126004          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,    1000, 9/12/16,     200, ,0000,      ,        ,      .7671,      .8300,      .8005
126004           , ,126004          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,    1000,10/24/16,     200, ,0000,      ,        ,      .7671,      .8300,      .8005
126004           , ,126004          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,    1000,12/12/16,     200, ,0000,      ,        ,      .7671,      .8300,      .8005
126004           , ,126004          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,    1000, 2/27/17,     200, ,0000,      ,        ,      .7671,      .8300,      .8005
126182           , ,126182          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     140, 1/30/17,     140, ,0000,      ,        ,     5.8200,     6.3000,     6.0353
126187           ,*,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 5/02/16,      19, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 5/09/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 5/23/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 6/06/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 6/20/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 7/18/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 8/01/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 8/15/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 9/05/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 9/19/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228,10/03/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228,10/17/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228,10/31/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228,11/14/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228,12/12/16,      24, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126187           , ,126187          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  4,     228, 1/30/17,      48, ,0000,      ,      32,    15.3372,    16.5800,    15.9969
126193           , ,126193          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     207, 4/18/16,      43,*,0000,      ,      50,     1.4746,     1.7400,     1.5439
126193           , ,126193          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     207, 6/06/16,      50, ,0000,      ,      50,     1.4746,     1.7400,     1.5439
126193           , ,126193          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     207, 8/01/16,      50, ,0000,      ,      50,     1.4746,     1.7400,     1.5439
126193           , ,126193          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     207, 9/19/16,      50, ,0000,      ,      50,     1.4746,     1.7400,     1.5439
126193           , ,126193          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     207,10/31/16,      50, ,0000,      ,      50,     1.4746,     1.7400,     1.5439
126193           , ,126193          ,095,00158 ,XE ,001SUFF            ,V999,   , 4  8,     207, 1/30/17,      50, ,0000,      ,      50,     1.4746,     1.7400,     1.5439
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 5/02/16,    3000, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 5/09/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 5/16/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 5/23/16,    2400, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 5/30/16,    1800, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 6/06/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 6/13/16,    1800, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 6/20/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 6/27/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 7/18/16,    1200, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 7/25/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 8/01/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 8/08/16,    1200, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 8/15/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 8/22/16,    1200, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 9/05/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 9/12/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 9/19/16,    1200, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 9/26/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000,10/03/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000,10/10/16,    1200, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000,10/17/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000,10/24/16,    1200, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000,10/31/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000,11/07/16,    1200, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000,11/14/16,     600, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000,12/12/16,    2400, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 1/30/17,    2400, ,0000,      ,    3600,      .1100,      .1200,      .1148
126216           , ,126216          ,095,00158 ,XE ,001SUFF            ,V999,   , 4 15,   21000, 2/27/17,    2400, ,0000,      ,    3600,      .1100,      .1200,      .1148
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 5/02/16,     200, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 5/23/16,     100, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 6/13/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 6/27/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 7/18/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 8/01/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 8/15/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 9/05/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 9/12/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 9/26/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800,10/10/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800,10/24/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800,11/07/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800,11/14/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800,12/12/16,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 1/30/17,     100, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127367           , ,127367          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  4,     800, 2/27/17,      50, ,0000,      ,        ,     8.1500,     8.8200,     8.5045
127368           , ,127368          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  8,    1000, 5/02/16,     200, ,0000,      ,        ,    10.1900,    11.0200,    10.5670
127368           , ,127368          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  8,    1000, 5/16/16,     100, ,0000,      ,        ,    10.1900,    11.0200,    10.5670
127368           , ,127368          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  8,    1000, 5/30/16,     100, ,0000,      ,        ,    10.1900,    11.0200,    10.5670
127368           , ,127368          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  8,    1000, 6/13/16,     100, ,0000,      ,        ,    10.1900,    11.0200,    10.5670
127368           , ,127368          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  8,    1000, 6/27/16,     100, ,0000,      ,        ,    10.1900,    11.0200,    10.5670
127368           , ,127368          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  8,    1000, 7/25/16,     100, ,0000,      ,        ,    10.1900,    11.0200,    10.5670
127368           , ,127368          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  8,    1000, 8/08/16,     100, ,0000,      ,        ,    10.1900,    11.0200,    10.5670
127368           , ,127368          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  8,    1000, 9/05/16,     100, ,0000,      ,        ,    10.1900,    11.0200,    10.5670
127368           , ,127368          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  8,    1000, 9/19/16,     100, ,0000,      ,        ,    10.1900,    11.0200,    10.5670
127368           , ,127368          ,095,00158 ,XE ,001SUFF            ,V730,   , 4  8,    1000,10/03/16,     100, ,0000,      ,        ,    10.1900,    11.0200,    10.5670
